Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023],Series Name_social,Series Code_social,2021 [YR2021]_social,2022 [YR2022]_social,2023 [YR2023]_social,Series Name_env,Series Code_env,2021 [YR2021]_env,2022 [YR2022]_env,2023 [YR2023]_env,Series Name_stats,Series Code_stats,2021 [YR2021]_stats,2022 [YR2022]_stats,2023 [YR2023]_stats,Country_ID,Name
Africa Western and Central,AFW,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.94647481,57.58910643,..,Forest area (% of land area),AG.LND.FRST.ZS,19.73203653,19.64748777,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,AFW,Africa Western and Central
Angola,AGO,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,2.55821E+11,2.6361E+11,2.66249E+11,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.643,61.929,..,Forest area (% of land area),AG.LND.FRST.ZS,52.98172239,52.53649723,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,631.4419555,460.5675116,685.0202378,AGO,Angola
Angola,AGO,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,25.75429488,21.35529013,13.64410178,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.643,61.929,..,Forest area (% of land area),AG.LND.FRST.ZS,52.98172239,52.53649723,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,631.4419555,460.5675116,685.0202378,AGO,Angola
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,74.46449859,69.69107051,67.04168861,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.643,61.929,..,Forest area (% of land area),AG.LND.FRST.ZS,52.98172239,52.53649723,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,631.4419555,460.5675116,685.0202378,AGO,Angola
Angola,AGO,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,7.683454676,8.096265874,5.174861952,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,61.643,61.929,..,Forest area (% of land area),AG.LND.FRST.ZS,52.98172239,52.53649723,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,631.4419555,460.5675116,685.0202378,AGO,Angola
Albania,ALB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,45304758103,47491477568,49361039069,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.463,76.833,..,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708,28.7919708,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.52,113.0416667,100.645,ALB,Albania
Albania,ALB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.041471631,6.725202715,4.759764219,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.463,76.833,..,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708,28.7919708,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.52,113.0416667,100.645,ALB,Albania
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,75.59031609,84.69806392,82.4936846,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.463,76.833,..,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708,28.7919708,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.52,113.0416667,100.645,ALB,Albania
Albania,ALB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,12.83522445,12.04117257,12.04646979,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.463,76.833,..,Forest area (% of land area),AG.LND.FRST.ZS,28.7919708,28.7919708,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,103.52,113.0416667,100.645,ALB,Albania
Andorra,AND,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,4649508749,5094216232,5225828101,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845376564,0.950915534,0.924709623,AND,Andorra
Andorra,AND,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845376564,0.950915534,0.924709623,AND,Andorra
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845376564,0.950915534,0.924709623,AND,Andorra
Andorra,AND,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,Forest area (% of land area),AG.LND.FRST.ZS,34.04255319,34.04255319,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.845376564,0.950915534,0.924709623,AND,Andorra
Arab World,ARB,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,7.21851E+12,7.6333E+12,7.72037E+12,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65234704,71.07816994,..,Forest area (% of land area),AG.LND.FRST.ZS,2.791120845,2.773553927,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,ARB,Arab World
Arab World,ARB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.965810083,5.087542009,3.64216403,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65234704,71.07816994,..,Forest area (% of land area),AG.LND.FRST.ZS,2.791120845,2.773553927,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,ARB,Arab World
Arab World,ARB,Trade (% of GDP),NE.TRD.GNFS.ZS,81.56198176,88.96332184,90.5657753,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65234704,71.07816994,..,Forest area (% of land area),AG.LND.FRST.ZS,2.791120845,2.773553927,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,ARB,Arab World
Arab World,ARB,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,18.01695428,16.07932103,17.72718843,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.65234704,71.07816994,..,Forest area (% of land area),AG.LND.FRST.ZS,2.791120845,2.773553927,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,..,..,..,ARB,Arab World
United Arab Emirates,ARE,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,6.45376E+11,6.93842E+11,7.1895E+11,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.71,79.196,..,Forest area (% of land area),AG.LND.FRST.ZS,4.467755562,4.467755562,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725,3.6725,3.6725,ARE,United Arab Emirates
United Arab Emirates,ARE,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,0.179935336,5.291226044,1.626708372,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.71,79.196,..,Forest area (% of land area),AG.LND.FRST.ZS,4.467755562,4.467755562,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725,3.6725,3.6725,ARE,United Arab Emirates
United Arab Emirates,ARE,Trade (% of GDP),NE.TRD.GNFS.ZS,186.1089326,188.9454617,202.332536,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.71,79.196,..,Forest area (% of land area),AG.LND.FRST.ZS,4.467755562,4.467755562,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725,3.6725,3.6725,ARE,United Arab Emirates
United Arab Emirates,ARE,General government final consumption expenditure (% of GDP),NE.CON.GOVT.ZS,14.61089352,12.64752077,12.41920153,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.71,79.196,..,Forest area (% of land area),AG.LND.FRST.ZS,4.467755562,4.467755562,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.6725,3.6725,3.6725,ARE,United Arab Emirates
Argentina,ARG,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,1.19173E+12,1.25453E+12,1.23432E+12,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.39,76.064,..,Forest area (% of land area),AG.LND.FRST.ZS,10.40076395,10.3611378,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,94.99074167,130.61655,296.2580417,ARG,Argentina
Argentina,ARG,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,..,..,..,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.39,76.064,..,Forest area (% of land area),AG.LND.FRST.ZS,10.40076395,10.3611378,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,94.99074167,130.61655,296.2580417,ARG,Argentina
Argentina,ARG,Trade (% of GDP),NE.TRD.GNFS.ZS,33.07868957,31.54770801,26.64051213,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.39,76.064,..,Forest area (% of land area),AG.LND.FRST.ZS,10.40076395,10.3611378,..,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,94.99074167,130.61655,296.2580417,ARG,Argentina
